D,PDR_REPORT,TABLE,1,DEMAND,TRK,1,RESDEMANDTRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,BLOCKED_CONSTRAINTS,1,DISPATCHBLOCKEDCONSTRAINT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,CASE_SOLUTION,2,DISPATCHCASESOLUTION,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,CONSTRAINT,5,DISPATCHCONSTRAINT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,FCAS_REQ,2,DISPATCH_FCAS_REQ,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,FCAS_REQ,1,DISPATCH_FCAS_REQ,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,FCAS_REQ_CONSTRAINT,1,DISPATCH_FCAS_REQ_CONSTRAINT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,FCAS_REQ_RUN,1,DISPATCH_FCAS_REQ_RUN,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,INTERCONNECTION,1,DISPATCH_INTERCONNECTION,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,INTERCONNECTORRES,3,DISPATCHINTERCONNECTORRES,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,INTERMITTENT_FORECAST_TRK,1,INTERMITTENT_FORECAST_TRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,LOCAL_PRICE,1,DISPATCH_LOCAL_PRICE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,MNSPBIDTRK,1,DISPATCH_MNSPBIDTRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,MR_SCHEDULE_TRK,1,DISPATCH_MR_SCHEDULE_TRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,NEGATIVE_RESIDUE,1,NEGATIVE_RESIDUE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,OFFERTRK,1,DISPATCHOFFERTRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,PRICE,4,DISPATCHPRICE,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,PRICE,5,DISPATCHPRICE,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,REGIONSUM,8,DISPATCHREGIONSUM,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,REGIONSUM,7,DISPATCHREGIONSUM,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,UNIT_CONFORMANCE,1,DISPATCH_UNIT_CONFORMANCE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,UNIT_CONFORMANCE,2,DISPATCH_UNIT_CONFORMANCE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,UNIT_SCADA,1,DISPATCH_UNIT_SCADA,INSERT-UPDATE,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,UNIT_SOLUTION,4,DISPATCHLOAD,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCH,UNIT_SOLUTION,5,DISPATCHLOAD,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCHBNC,CASESOLUTION,1,DISPATCHCASESOLUTION_BNC,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCHBNC,UNITSOLUTION,1,DISPATCHLOAD_BNC,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCHBNC,UNIT_SOLUTION,1,DISPATCHLOAD_BNC,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCHOCD,CASE,1,DISPATCHCASE_OCD,INSERT,,1,0
D,PDR_REPORT,TABLE,1,DISPATCHOCD,CONSTRAINTRELAXATION,2,CONSTRAINTRELAXATION_OCD,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,DISPATCHOCD,CONSTRAINT_FCAS_OCD,1,DISPATCH_CONSTRAINT_FCAS_OCD,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,FORCE_MAJEURE,IRFMAMOUNT,1,IRFMAMOUNT,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,FORCE_MAJEURE,IRFMEVENTS,1,IRFMEVENTS,INSERT,,1,0
